,title,director ,writer,actors,gener,language,runtime,average,votes,link
14,黄阿丽：小眼镜蛇 Ali Wong: Baby Cobra,杰伊·卡拉斯,['黄阿丽'],['黄阿丽'],['脱口秀'], 英语,2016-05-05(美国),8.8,15295,https://movie.douban.com/subject/26772763/
15,卡门线 The Karman Line,奥斯卡·夏普,"['Dawn King', '奥斯卡·夏普']","['奥利维娅·科尔曼', '邵恩·杜里', 'Chelsea Corfield', '戴维·坎恩', 'Julia Watson', 'Sarah McVicar', '吉尔·科雷林', 'Matthew Earley', '悉德妮·怀特']",['剧情'],,,,,
16,街角的商店 The Shop Around the Corner,恩斯特·刘别谦,['山姆森·雷佛森'],"['玛格里特·苏利文', '詹姆斯·斯图尔特', '弗兰克·摩根', '约瑟夫·斯柴德克劳特', '萨拉·黑登']","['剧情', '喜剧', '爱情']", 英语,1940-01-12,8.6,10726,https://movie.douban.com/subject/1299166/
17,细路祥 細路祥,陈果,['陈果'],"['姚月明', '麦惠芬', '麦雪雯', '张醒超', '徐天佑', '谷祖琳', '李灿森', '严栩慈']",['剧情'], 粤语,1999-12-30(中国香港),8.5,15224,https://movie.douban.com/subject/1304758/
18,哆啦A梦：大雄与动物行星 ドラえもん のび太とアニマル惑星,芝山努,['藤子·F·不二雄'],"['大山信代', '小原乃梨子', '野村道子', '立壁和也', '肝付兼太', '千千松幸子', '田中真弓', '山田俊司', '佐佐木留恩', '川久保洁', '广濑正志', '峰敦子', '依田英助', '茶风林', '西原久美子', '松冈洋子', '田中亮一', '龙田直树', '菅原正志', '松原雅子', '坂东尚树', '平野正人', '小杉十郎太', '西尾德', '加藤正之', '渡部猛', '加藤治', '森功至']","['科幻', '动画', '冒险']", 日语,1990-03-10(日本),8.5,5803,https://movie.douban.com/subject/1458898/
19,穆谢特 Mouchette,罗伯特·布列松,"['乔治·贝尔纳诺斯', '罗伯特·布列松']","['娜丁·诺蒂尔', 'Jean-Claude Guilbert', 'Marie Cardinal', '保罗·赫伯特', '让·维姆内', 'Marie Susini']",['剧情'], 法语,1967-03-28(法国),8.5,6758,https://movie.douban.com/subject/1302413/
0,人狗奇缘 마음이...,朴银炯,"['朴银炯', '申东益']","['俞承豪', 'Dal-i', '金香起', '安吉江', '郑敏儿', '金兰讳', '金东英', '徐荣华']","['剧情', '儿童']", 韩语,2006-10-25(韩国),8.4,39177,https://movie.douban.com/subject/1970437/
1,戏梦人生 戲夢人生,侯孝贤,"['吴念真 Nien-Jen Wu', '李天禄', '朱天文']","['蔡振南', '洪流', '黄倩茹', '李天禄', '林强', '杨丽音']","['剧情', '传记', '战争']", 汉语普通话 / 日语 / 闽南语,1994-05-19(中国香港),8.4,7884,https://movie.douban.com/subject/1302941/
2,哆啦A梦：大雄与龙骑士 ドラえもん のび太と竜の骑士,芝山努,['藤子·F·不二雄'],"['大山信代', '小原乃梨子', '野村道子', '立壁和也', '肝付兼太']","['科幻', '动画', '冒险']", 日语,1987-03-14(日本),8.4,5877,https://movie.douban.com/subject/1458895/
3,我这样过了一生 我這樣過了一生,张毅,"['张毅', '萧飒']","['杨惠姗', '李立群', '刘明', '文英', '英英', '丁也恬', '萧志文', '吴敏', '邵罗辉', '胡翔评', '罗条慧', '周平', '林正明', '蔡瑟芬', '陈显元', '陈玉辉', '庹宗康', '罗文诚']","['剧情', '家庭']", 汉语普通话,1985-10-09(中国台湾),8.4,6024,https://movie.douban.com/subject/1302637/
4,哆啦A梦：大雄的南海大冒险 ドラえもん のび太の南海大冒険,芝山努,"['藤子·F·不二雄', '岸间信明']","['大山信代', '小原乃梨子', '野村道子', '立壁和也', '肝付兼太', '早见优', '千千松幸子', '中岛和男', '上条恒彦', '林家木久藏', '林家正藏', '阪脩', '富田耕生', '麻上洋子', '小杉十郎太', '飞田展男', '永泽菜教', '茶风林', '中岛聪彦', '千叶一伸', '广濑正志', '藤原启治', '关智一', '中博史', '松本大', '江守彻']","['科幻', '动画', '冒险']", 日语,1998-03-07(日本),8.3,5167,https://movie.douban.com/subject/1458906/
5,妙想天开 Brazil,特瑞·吉列姆,"['特瑞·吉列姆', '汤姆·斯托帕德', '查尔斯·麦肯恩', '查尔斯·阿尔弗森']","['乔纳森·普雷斯', '罗伯特·德尼罗', '凯瑟琳·海蒙德', '伊安·霍姆', '鲍勃·霍斯金斯', '迈克尔·帕林', '伊恩·理查森', '皮特·沃恩', '金·格雷斯特', '吉姆·布劳德本特', '芭芭拉·希克斯', '查尔斯·麦肯恩', '德里克·奥康纳', '凯瑟琳·波格森', '布莱恩·普林格', '希拉·里德', '约翰·福拉纳干', '雷·库珀', '布莱恩·米勒', 'Simon Nash', '西蒙·琼斯', 'Derek Deadman', '奈格尔·派纳', '特伦斯·贝勒', '戈登·凯', '比尔·沃利斯', '杰克·普韦思', 'Myrtle Devenish', '安·韦', 'Don Henderson', '霍华德·卢刘易斯', 'Oscar Quitak', 'Harold Innocent', '约翰·格里洛', '戴维·甘特', '帕特里克·康纳', '罗杰·阿什顿-格里菲斯', 'Sue Hodge', '萨迪·科尔', '玛格丽塔·道尔', '泰瑞·佛瑞斯塔', '特瑞·吉列姆', '约翰·哈斯勒', 'Peter Sands']","['剧情', '科幻']", 英语,1985-02-22(英国),8.2,16051,https://movie.douban.com/subject/1293823/
6,星际旅行4：抢救未来 Star Trek IV: The Voyage Home,伦纳德·尼莫伊,"['吉恩·罗登贝瑞', '伦纳德·尼莫伊']","['威廉·夏特纳', '伦纳德·尼莫伊', '德福雷斯特·凯利', '詹姆斯·杜汉', '武井乔治', '沃尔特·凯尼格', '尼切尔·尼克斯', '简·维亚特', '凯瑟琳·海克丝', '马克·雷纳德', '罗宾·柯蒂斯', '罗伯特·艾伦斯坦', '约翰·舒克', '布洛克·皮特斯', 'Michael Snyder']","['喜剧', '科幻', '冒险']", 英语,1986-11-26,8.2,10307,https://movie.douban.com/subject/1293325/
7,抢钱夫妻,张之亮,['阮世生'],"['许冠文', '萧芳芳', '邓一君', '陈少霞', '左诗蓓', '雷宇扬', '刘玉翠', '张之亮']",['喜剧'], 粤语,1993-12-22,8.2,7411,https://movie.douban.com/subject/1296747/
8,精灵宝可梦：洛奇亚爆诞 劇場版ポケットモンスター 幻のポケモン ルギア爆誕,汤山邦彦,['首藤刚志'],"['松本梨香', '大谷育江', '石冢运升', '饭冢雅弓', '兴梠里美', '关智一', '林原惠美', '三木真一郎', '犬山犬子', '大塚周夫', '平松晶子', '久川绫', '三石琴乃', '潘惠子', '丰岛雅美', '爱河里花子', '冬马由美', '小西克幸', '金井美香', '上田祐司', '坂口候一', '筱原惠美', '加贺谷纯一', '挂川裕彦', '西村千奈美', '伊崎寿克', '酒井哲也', '川岛得爱', '鹿贺丈史', '浜田雅功', '山寺宏一']","['动作', '动画', '冒险']", 日语,1999-07-17(日本),8.2,5320,https://movie.douban.com/subject/2015079/
9,正义联盟：战争 Justice League: War,杰伊·欧力瓦,"['希思·科森', '乔夫·琼斯', '比尔·芬格', '吉姆·李', 'Scott Williams']","['西恩·奥斯汀', '扎克·卡利森', '克里斯托弗·戈勒姆', '贾斯汀·柯克', '米歇尔·莫纳汉', '谢默·摩尔', '杰森·奥玛拉', '艾伦·图代克', '史蒂夫·布卢姆', '迪·布拉雷·贝克尔', '洛奇·卡罗尔', '艾恩·格拉法德', 'Melique Berger', 'Kimberly Brooks', 'Georgie Kidder']","['动作', '科幻', '动画', '奇幻', '冒险']", 英语,2014-02-04(美国),8.1,13330,https://movie.douban.com/subject/25760447/
10,梦想者四夜 Quatre nuits d'un rêveur,罗伯特·布列松,['罗伯特·布列松'],"['Isabelle Weingarten', 'Guillaume des Forêts', 'Jean-Maurice Monnoyer']","['剧情', '爱情']", 法语,1971-06-29(西德),8.1,3367,https://movie.douban.com/subject/1440978/
11,涉外大饭店 The Best Exotic Marigold Hotel,约翰·马登,"['黛博拉·莫盖茨', '欧·帕克']","['玛吉·史密斯', '朱迪·丹奇', '汤姆·威尔金森', '比尔·奈伊', '佩内洛普·威尔顿', '戴夫·帕特尔', '罗纳德·皮卡普', '西莉亚·伊姆里']","['剧情', '喜剧']", 英语 / 印地语,2011-11-30(索伦托电影节),8.0,36441,https://movie.douban.com/subject/5320600/
12,红潮风暴 Crimson Tide,托尼·斯科特,"['迈克尔·希弗', '理查德·P·亨里克']","['丹泽尔·华盛顿', '吉恩·哈克曼', '马特·克拉文', '乔治·杜兹达扎', '维果·莫腾森', '詹姆斯·甘多菲尼', '洛奇·卡罗尔', 'Jaime Gomez', '迈克尔·米尔汉', '丹尼·努齐', '李洛·布兰卡托', '埃里克·布鲁斯科特尔', '瑞克·斯克路德', '斯蒂夫·扎恩', 'Billy Devlin', '马修·巴里', 'Christopher Birt', '贾克波·瓦格斯', '卡伊·伦诺克斯', 'Earl Billings', '马克·克里斯托弗·劳伦斯', '詹姆斯·勒斯库', '特雷弗·圣约翰', 'Dennis Garber', '瓦妮莎·贝尔·卡洛威', '丹尼尔·冯·巴根', '雷德·戴利', '肖恩·奥布赖恩', 'Victor Togunde', '斯科特·格瑞恩斯', '瑞恩·菲利普', 'Angela C. Tortu', '亨利·莫腾森', '克里斯·埃里斯', 'Lennox Brown', '莫·加里尼', '杰森·罗巴兹', 'Rayder Woods']","['剧情', '动作', '惊悚']", 英语,1995-05-12(美国),8.0,11784,https://movie.douban.com/subject/1295363/
13,热带疾病 สัตว์ประหลาด,阿彼察邦·韦拉斯哈古,['阿彼察邦·韦拉斯哈古'],"['班罗普·洛罗伊', '萨卡达·卡温巴迪', 'Huai Dessom', 'Sirivech Jareonchon', 'Udom Promma']","['剧情', '同性']", 泰语,2004-05-17(戛纳电影节),8.0,7060,https://movie.douban.com/subject/1414808/
14,恋爱与义务 戀愛與義務,卜万苍,['朱石麟'],"['阮玲玉', '陈燕燕', '金焰']","['剧情', '爱情']", 无对白,1931-04-05(中国大陆),8.0,1445,https://movie.douban.com/subject/1301249/
15,家在水草丰茂的地方,李睿珺,['李睿珺'],"['汤龙', '郭嵩涛', '白文信', '郭建民', '马新春']","['剧情', '儿童']", 裕固语 / 甘肃方言 / 汉语普通话,2015-10-23(中国大陆),7.9,13809,https://movie.douban.com/subject/11537965/
16,现代爱情故事 Frankie and Johnny,盖瑞·马歇尔,['特伦斯·麦克纳利'],"['阿尔·帕西诺', '米歇尔·菲佛', '埃克托尔·埃利松多', '内森·连恩', '凯特·尼利甘', '简·莫里斯', '阿尔·法恩', '艾利·凯特斯', '格伦·普拉默', '哈维-米勒', '肖恩·奥布赖恩', '菲尔·利兹', '卡尔文·阮', 'Frank Campanella', '朱莉·帕丽斯', 'Bud Markowitz', 'Elizabeth Kerr', '阿尔·萨皮恩扎', '特雷西赖纳', '戴·扬', '芭芭拉·马歇尔', '斯科特·马歇尔', '洛娜·塞耶', 'Terri Sigrist', 'Lori Sigrist', '扎卡里·温特劳布', 'Gordon Belson', 'Lucinda Crosby', 'K·卡兰', 'Frank Buxton', '黛迪·菲佛', '马克·拉杜奇', '比尔·阿普勒鲍姆', '索菲·冯·海索博格', 'Lori Marshall', 'Jonathan Coder', '理查德·达历山德罗', 'Gary Rodriguez', '但丁·斯宾诺蒂']","['剧情', '喜剧', '爱情']", 英语,1991-10-11(美国),7.9,6884,https://movie.douban.com/subject/1301464/
17,芭比之拇指姑娘 Barbie Presents Thumbelina,Conrad Helten,"['凯瑟琳·巴尔', 'Natasha Calis', 'Anna Cummer', 'Kelly Metzger', '凯莉·谢里丹', 'Tabitha St. Germain', 'Cathy Weseluck']","['凯瑟琳·巴尔', 'Natasha Calis', 'Anna Cummer', 'Kelly Metzger', '凯莉·谢里丹', 'Tabitha St. Germain', 'Cathy Weseluck']","['动画', '家庭']", 英语,2009-02-24(法国),7.9,3886,https://movie.douban.com/subject/3709592/
18,下一站，说爱你 รถไฟฟ้า…มาหานะเธอ,埃迪森·特斯利卡森,['纳瓦彭·坦荣瓜塔纳利'],"['提拉德·翁坡帕', '安苏玛琳·瑟拉帕萨默莎', '克丽丝·霍旺']","['喜剧', '爱情']", 泰语,2009-10-15,7.8,53467,https://movie.douban.com/subject/4022090/
19,征婚启事 徵婚啟事,陈国富,"['陈国富', '陈世杰']","['刘若英', '王朝明', '伍佰', '陈昭荣', '顾宝明', '金士杰', '钮承泽', '林秀玲', '王逸诗', '魏伯勤', '陈文茜', '卢明进', '周辰达', '罗北安', '蔡明杰', '喻纯阳', '喻家福', '柯志煌', '章克诚', '徐文正', '黄伟诚', '蔡文雄', '卢进丁', '刘克峰', '朱家麟', '许应裕', '李玉清', '吴远定', '施易男', '卜学亮']","['剧情', '喜剧', '爱情']", 汉语普通话,1998-03-13(中国台湾),7.8,19289,https://movie.douban.com/subject/1307514/
